police_station,missing_reported,latitude,longitude,place_name,maps_url,status
UTTAM NAGAR,7609,28.6252935,77.0622236,UTTAM NAGAR,https://www.google.com/maps/search/?api=1&query=UTTAM+NAGAR+Police+Station+Delhi,VERIFIED
DABRI,7456,28.6128883,77.0857544,DABRI,https://www.google.com/maps/search/?api=1&query=DABRI+Police+Station+Delhi,VERIFIED
RANHOLA,7318,28.6537789,77.0357848,RANHOLA,https://www.google.com/maps/search/?api=1&query=RANHOLA+Police+Station+Delhi,VERIFIED
BINDA PUR,6990,28.6121707,77.0768048,BINDA PUR,https://www.google.com/maps/search/?api=1&query=BINDA+PUR+Police+Station+Delhi,VERIFIED
NIHAL VIHAR,6637,28.6649705,77.0716017,NIHAL VIHAR,https://www.google.com/maps/search/?api=1&query=NIHAL+VIHAR+Police+Station+Delhi,VERIFIED
AMAN VIHAR,6566,28.7183061,77.0643621,AMAN VIHAR,https://www.google.com/maps/search/?api=1&query=AMAN+VIHAR+Police+Station+Delhi,VERIFIED
KHAJURI KHAS,6418,28.7131978,77.2548737,KHAJURI KHAS,https://www.google.com/maps/search/?api=1&query=KHAJURI+KHAS+Police+Station+Delhi,VERIFIED
NARELA,6028,28.8532126,77.0880622,NARELA,https://www.google.com/maps/search/?api=1&query=NARELA+Police+Station+Delhi,VERIFIED
JAIT PUR,5660,28.5038283,77.3195225,JAIT PUR,https://www.google.com/maps/search/?api=1&query=JAIT+PUR+Police+Station+Delhi,VERIFIED
SULTAN PURI,5484,28.702765,77.0789265,SULTAN PURI,https://www.google.com/maps/search/?api=1&query=SULTAN+PURI+Police+Station+Delhi,VERIFIED
BURARI,5443,28.7365209,77.1971686,BURARI,https://www.google.com/maps/search/?api=1&query=BURARI+Police+Station+Delhi,VERIFIED
SANGAM VIHAR,5325,28.5097197,77.2431929,SANGAM VIHAR,https://www.google.com/maps/search/?api=1&query=SANGAM+VIHAR+Police+Station+Delhi,VERIFIED
SHAHBAD DAIRY,5073,28.747688,77.078833,SHAHBAD DAIRY,https://www.google.com/maps/search/?api=1&query=SHAHBAD+DAIRY+Police+Station+Delhi,VERIFIED
MANGOL PURI,5027,28.6964436,77.0914505,MANGOL PURI,https://www.google.com/maps/search/?api=1&query=MANGOL+PURI+Police+Station+Delhi,VERIFIED
KAPASHERA,5001,28.5295546,77.0873972,KAPASHERA,https://www.google.com/maps/search/?api=1&query=KAPASHERA+Police+Station+Delhi,VERIFIED
GOVIND PURI,4906,28.530997,77.2655896,GOVIND PURI,https://www.google.com/maps/search/?api=1&query=GOVIND+PURI+Police+Station+Delhi,VERIFIED
VIJAY VIHAR,4774,28.7102306,77.1025065,VIJAY VIHAR,https://www.google.com/maps/search/?api=1&query=VIJAY+VIHAR+Police+Station+Delhi,VERIFIED
BHALSWA DAIRY,4606,28.7427326,77.1656592,BHALSWA DAIRY,https://www.google.com/maps/search/?api=1&query=BHALSWA+DAIRY+Police+Station+Delhi,VERIFIED
KARAWAL NAGAR,4596,28.7321924,77.2756599,KARAWAL NAGAR,https://www.google.com/maps/search/?api=1&query=KARAWAL+NAGAR+Police+Station+Delhi,VERIFIED
GOKUL PURI,4469,28.7024621,77.2863953,GOKUL PURI,https://www.google.com/maps/search/?api=1&query=GOKUL+PURI+Police+Station+Delhi,VERIFIED
JAHANGIR PURI,4411,28.733703,77.1752476,JAHANGIR PURI,https://www.google.com/maps/search/?api=1&query=JAHANGIR+PURI+Police+Station+Delhi,VERIFIED
NANGLOI,4375,28.6818351,77.0670557,NANGLOI,https://www.google.com/maps/search/?api=1&query=NANGLOI+Police+Station+Delhi,VERIFIED
SAMAI PUR BADLI,4348,28.7321543,77.1460136,SAMAI PUR BADLI,https://www.google.com/maps/search/?api=1&query=SAMAI+PUR+BADLI+Police+Station+Delhi,VERIFIED
